model,signal,bin_lo,bin_hi,bin_mid,bin_count,avg_predicted,avg_observed,bin_ece_contrib
OLMo,self_report_raw,0.9,1.0,0.95,88,0.9988636363636364,0.22727272727272727,0.3395
OLMo,self_report_inverted,0.0,0.1,0.05,88,0.001136363636363636,0.22727272727272727,0.0995
OLMo,self_report_inverted,0.1,0.2,0.15000000000000002,0,,,0.0
OLMo,self_report_inverted,0.2,0.30000000000000004,0.25,0,,,0.0
OLMo,self_report_inverted,0.30000000000000004,0.4,0.35000000000000003,1,0.30000000000000004,1.0,0.0034999999999999996
OLMo,self_report_inverted,0.4,0.5,0.45,1,0.4,1.0,0.003
OLMo,self_report_inverted,0.5,0.6000000000000001,0.55,2,0.52,1.0,0.0048
OLMo,self_report_inverted,0.6000000000000001,0.7000000000000001,0.6500000000000001,3,0.6933333333333334,0.6666666666666666,0.0004000000000000009
OLMo,self_report_inverted,0.7000000000000001,0.8,0.75,3,0.7600000000000001,1.0,0.003599999999999998
OLMo,self_report_inverted,0.8,0.9,0.8500000000000001,6,0.8666666666666666,0.8333333333333334,0.0009999999999999963
OLMo,self_report_inverted,0.9,1.0,0.95,96,0.9936458333333333,0.6875,0.14695
OLMo,length_score,0.0,0.1,0.05,0,,,0.0
OLMo,length_score,0.1,0.2,0.15000000000000002,0,,,0.0
OLMo,length_score,0.2,0.30000000000000004,0.25,31,0.20000000000000007,0.7741935483870968,0.08899999999999998
OLMo,length_score,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
OLMo,length_score,0.4,0.5,0.45,54,0.39999999999999986,0.2037037037037037,0.05299999999999997
OLMo,length_score,0.5,0.6000000000000001,0.55,97,0.5577319587628865,0.4845360824742268,0.035499999999999955
OLMo,length_score,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,,,0.0
OLMo,length_score,0.7000000000000001,0.8,0.75,0,,,0.0
OLMo,length_score,0.8,0.9,0.8500000000000001,18,0.8000000000000002,1.0,0.017999999999999985
OLMo,length_score,0.9,1.0,0.95,0,,,0.0
OLMo,max_entropy_global,0.0,0.1,0.05,1,0.0,0.0,0.0
OLMo,max_entropy_global,0.1,0.2,0.15000000000000002,1,0.11381950415899666,1.0,0.004430902479205016
OLMo,max_entropy_global,0.2,0.30000000000000004,0.25,4,0.2649468749954279,0.25,0.0002989374999085581
OLMo,max_entropy_global,0.30000000000000004,0.4,0.35000000000000003,5,0.35043975906779723,0.0,0.008760993976694931
OLMo,max_entropy_global,0.4,0.5,0.45,13,0.4635099697621143,0.23076923076923078,0.015128148034537428
OLMo,max_entropy_global,0.5,0.6000000000000001,0.55,27,0.547811418812327,0.1111111111111111,0.058954541539664146
OLMo,max_entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,49,0.6462121286620005,0.2653061224489796,0.09332197152219011
OLMo,max_entropy_global,0.7000000000000001,0.8,0.75,29,0.7410823478188603,0.3793103448275862,0.05245694043373474
OLMo,max_entropy_global,0.8,0.9,0.8500000000000001,25,0.8603815845213836,0.88,0.002452301934827053
OLMo,max_entropy_global,0.9,1.0,0.95,46,0.9332294824207087,1.0,0.015357219043237003
OLMo,entropy_std_global,0.0,0.1,0.05,1,0.0,1.0,0.005
OLMo,entropy_std_global,0.1,0.2,0.15000000000000002,0,,,0.0
OLMo,entropy_std_global,0.2,0.30000000000000004,0.25,3,0.270060984834352,0.0,0.004050914772515279
OLMo,entropy_std_global,0.30000000000000004,0.4,0.35000000000000003,4,0.3577760422201178,0.0,0.007155520844402356
OLMo,entropy_std_global,0.4,0.5,0.45,42,0.4610345857855179,0.14285714285714285,0.06681726301495876
OLMo,entropy_std_global,0.5,0.6000000000000001,0.55,51,0.5550431908684034,0.2549019607843137,0.07653601367144286
OLMo,entropy_std_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,24,0.6458466649662015,0.2916666666666667,0.04250159979594417
OLMo,entropy_std_global,0.7000000000000001,0.8,0.75,25,0.7474922612047398,0.92,0.021563467349407534
OLMo,entropy_std_global,0.8,0.9,0.8500000000000001,31,0.852588861342699,1.0,0.02284872649188166
OLMo,entropy_std_global,0.9,1.0,0.95,19,0.93021667604335,1.0,0.006629415775881749
Llama,entropy_global,0.0,0.1,0.05,2,0.022984226017800757,0.0,0.00022984226017800757
Llama,entropy_global,0.1,0.2,0.15000000000000002,5,0.13322523700244954,0.0,0.0033306309250612388
Llama,entropy_global,0.2,0.30000000000000004,0.25,9,0.25227473871555045,0.1111111111111111,0.00635236324219977
Llama,entropy_global,0.30000000000000004,0.4,0.35000000000000003,8,0.34977251146223637,0.0,0.013990900458489455
Llama,entropy_global,0.4,0.5,0.45,12,0.4493784834142447,0.16666666666666666,0.016962709004854682
Llama,entropy_global,0.5,0.6000000000000001,0.55,35,0.5546859672938959,0.14285714285714285,0.07207004427643177
Llama,entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,42,0.6436002137045863,0.23809523809523808,0.08515604487796312
Llama,entropy_global,0.7000000000000001,0.8,0.75,10,0.7403041454536823,0.5,0.012015207272684115
Llama,entropy_global,0.8,0.9,0.8500000000000001,31,0.8587950161384024,1.0,0.021886772498547633
Llama,entropy_global,0.9,1.0,0.95,46,0.9503956185856957,1.0,0.011409007725289999
Llama,entropy_per_model,0.0,0.1,0.05,2,0.023019146592870188,0.0,0.00023019146592870188
Llama,entropy_per_model,0.1,0.2,0.15000000000000002,5,0.1334276498174943,0.0,0.003335691245437358
Llama,entropy_per_model,0.2,0.30000000000000004,0.25,9,0.2526580267559926,0.1111111111111111,0.0063696112040196665
Llama,entropy_per_model,0.30000000000000004,0.4,0.35000000000000003,8,0.35030393058569465,0.0,0.014012157223427786
Llama,entropy_per_model,0.4,0.5,0.45,12,0.4500612366665189,0.16666666666666666,0.017003674199991135
Llama,entropy_per_model,0.5,0.6000000000000001,0.55,33,0.55280895254887,0.15151515151515152,0.06621347717056356
Llama,entropy_per_model,0.6000000000000001,0.7000000000000001,0.6500000000000001,44,0.6425701797832621,0.22727272727272727,0.09136543955231767
Llama,entropy_per_model,0.7000000000000001,0.8,0.75,10,0.741428910171255,0.5,0.012071445508562751
Llama,entropy_per_model,0.8,0.9,0.8500000000000001,31,0.8600998073376839,1.0,0.021684529862659
